ID Evento,Data,Hora,ID Usuário,Usuário,E-mail,Idade,Cidade/UF,Gênero (Usuário),Data de Cadastro,Título,Gênero,Tipo,Episódios Assistidos,Duração da Sessão (min),Tempo Assistido (min),% Assistido,Concluiu?,Dispositivo
139,2026-06-22,20:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,120,0.86,Não,Tablet
140,2026-06-23,08:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,A Maldição da Residência Hill,Terror,Série,3,129,103,0.8,Não,Smart TV
141,2026-06-23,10:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Band of Brothers,Ação,Minissérie,2,86,65,0.76,Não,Smart TV
142,2026-06-23,17:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Parasita,Drama,Filme,-,111,98,0.88,Não,Smart TV
143,2026-06-24,09:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Shrek 2,Animação,Filme (animação),-,97,82,0.85,Não,Smart TV
144,2026-06-24,09:15,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,The Crown,Drama,Série,2,108,52,0.48,Não,Smart TV
145,2026-06-24,10:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Wild Wild Country,Documentário,Documentário,-,80,22,0.28,Não,Smart TV
146,2026-06-24,15:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Ilha das Flores,Documentário,Curta-documentário,-,12,11,0.88,Não,Console
147,2026-06-24,21:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Ilha do Medo,Suspense,Filme,-,140,71,0.51,Não,Smart TV
148,2026-06-24,22:30,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Breaking Bad,Drama,Série,3,123,41,0.33,Não,Tablet
149,2026-06-24,22:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,La Casa de Papel,Suspense,Série,2,96,86,0.9,Sim,Smart TV
150,2026-06-25,19:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Antes do Amanhecer,Romance,Filme,-,102,102,1,Sim,Notebook/PC
151,2026-06-25,19:30,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Toy Story 3,Animação,Filme (animação),-,90,88,0.98,Sim,Smart TV
152,2026-06-25,23:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Succession,Drama,Série,1,42,13,0.31,Não,Tablet
153,2026-06-26,14:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,The Office (US),Comédia,Série,3,162,138,0.85,Não,Tablet
154,2026-06-26,17:45,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,IT A Coisa,Terror,Filme,-,106,100,0.94,Sim,Celular
155,2026-06-27,18:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Titanic,Romance,Filme,-,129,111,0.86,Não,Smart TV
156,2026-06-27,21:30,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,O Rei Leão,Animação,Filme (animação),-,99,48,0.48,Não,Notebook/PC
157,2026-06-27,23:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Curtindo a Vida Adoidado,Comédia,Filme,-,87,57,0.66,Não,Smart TV
158,2026-06-28,09:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,O Auto da Compadecida,Comédia,Filme,-,106,47,0.44,Não,Smart TV
159,2026-06-28,11:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Akira,Animação,Filme (animação),-,93,38,0.41,Não,Notebook/PC
160,2026-06-28,16:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Mindhunter,Suspense,Série,1,52,46,0.88,Não,Console
161,2026-06-28,18:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Forrest Gump,Drama,Filme,-,104,96,0.92,Sim,Notebook/PC
162,2026-06-29,12:00,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Olhos que Condenam,Drama,Minissérie,1,35,8,0.22,Não,Tablet
163,2026-06-29,12:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Um Sonho de Liberdade,Drama,Filme,-,154,79,0.51,Não,Smart TV
164,2026-06-29,19:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Um Sonho de Liberdade,Drama,Filme,-,154,88,0.57,Não,Smart TV
165,2026-06-29,21:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Band of Brothers,Ação,Minissérie,4,172,153,0.89,Não,Smart TV
166,2026-06-29,23:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Modern Family,Comédia,Série,2,110,97,0.88,Não,Notebook/PC
167,2026-06-30,10:30,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Titanic,Romance,Filme,-,129,75,0.58,Não,Celular
168,2026-06-30,14:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Orgulho e Preconceito,Romance,Filme,-,119,112,0.94,Sim,Notebook/PC
169,2026-06-30,14:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,IT A Coisa,Terror,Filme,-,106,95,0.9,Sim,Celular
170,2026-06-30,21:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Reacher,Ação,Série,3,147,98,0.67,Não,Smart TV
171,2026-07-01,10:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Psicose,Suspense,Filme,-,130,81,0.62,Não,Tablet
172,2026-07-01,22:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Bridgerton,Romance,Série,2,110,29,0.26,Não,Smart TV
173,2026-07-02,08:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,O Exorcista,Terror,Filme,-,102,38,0.37,Não,Celular
174,2026-07-02,11:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Curtindo a Vida Adoidado,Comédia,Filme,-,87,26,0.3,Não,Smart TV
175,2026-07-02,14:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Demolidor,Ação,Série,2,72,22,0.3,Não,Tablet
176,2026-07-02,16:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,A Máfia dos Tigres (Tiger King),Documentário,Documentário,-,93,59,0.63,Não,Smart TV
177,2026-07-02,21:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Modern Love,Romance,Série (antologia),2,92,60,0.65,Não,Smart TV
178,2026-07-02,23:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,The Last of Us,Terror,Série,1,41,9,0.23,Não,Console
179,2026-07-03,18:45,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Invencível,Animação,Série (animação),2,84,59,0.7,Não,Notebook/PC
180,2026-07-05,07:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,IT A Coisa,Terror,Filme,-,106,78,0.74,Não,Notebook/PC
181,2026-07-05,08:30,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Bridgerton,Romance,Série,3,165,163,0.99,Sim,Tablet
182,2026-07-05,17:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Antes do Amanhecer,Romance,Filme,-,102,99,0.97,Sim,Notebook/PC
183,2026-07-05,19:00,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Wild Wild Country,Documentário,Documentário,-,80,70,0.88,Não,Notebook/PC
184,2026-07-05,19:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Band of Brothers,Ação,Minissérie,1,43,40,0.94,Sim,Smart TV
185,2026-07-05,22:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Um Sonho de Liberdade,Drama,Filme,-,154,154,1,Sim,Console
186,2026-07-05,23:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,A Maldição da Residência Hill,Terror,Série,1,43,38,0.89,Não,Tablet
187,2026-07-05,23:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,X-Men: A Série Animada,Animação,Série (animação),2,112,105,0.94,Sim,Notebook/PC
188,2026-07-06,10:00,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Diário de uma Paixão,Romance,Filme,-,130,124,0.95,Sim,Notebook/PC
189,2026-07-06,19:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Todo Mundo em Pânico,Comédia,Filme,-,105,91,0.87,Não,Smart TV
190,2026-07-06,20:45,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,A Linha Tênue,Documentário,Documentário,-,120,109,0.91,Sim,Notebook/PC
191,2026-07-07,07:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Nosso Planeta,Documentário,Documentário (natureza),-,81,70,0.86,Não,Smart TV
192,2026-07-07,10:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Blade Runner,Ficção Científica,Filme,-,107,92,0.86,Não,Notebook/PC
193,2026-07-08,21:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,The Last Dance,Documentário,Documentário,-,89,58,0.65,Não,Tablet
194,2026-07-08,21:30,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,O Mistério de Jinx,Documentário,Documentário,-,89,82,0.92,Sim,Smart TV
195,2026-07-08,22:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,True Detective,Suspense,Série (antologia),2,84,77,0.92,Sim,Smart TV
196,2026-07-09,08:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Fleabag,Comédia,Série,2,116,55,0.47,Não,Celular
197,2026-07-09,21:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,007 - Operação Skyfall,Ação,Filme,-,106,30,0.28,Não,Smart TV
198,2026-07-09,22:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Invencível,Animação,Série (animação),3,126,25,0.2,Não,Smart TV
199,2026-07-09,22:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,The Expanse,Ficção Científica,Série,3,114,79,0.69,Não,Smart TV
200,2026-07-10,07:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Homem-Aranha: No Aranhaverso,Animação,Filme (animação),-,92,89,0.97,Sim,Notebook/PC
201,2026-07-10,08:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Forrest Gump,Drama,Filme,-,104,101,0.97,Sim,Smart TV
202,2026-07-10,09:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Arquivo X,Ficção Científica,Série,1,39,38,0.97,Sim,Smart TV
203,2026-07-10,12:30,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Fleabag,Comédia,Série,1,58,50,0.87,Não,Notebook/PC
204,2026-07-10,15:45,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Forrest Gump,Drama,Filme,-,104,95,0.91,Sim,Celular
205,2026-07-12,14:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Ruptura,Ficção Científica,Série,2,116,67,0.58,Não,Celular
206,2026-07-12,23:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Ilha das Flores,Documentário,Curta-documentário,-,12,11,0.94,Sim,Smart TV
207,2026-07-13,07:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Atividade Paranormal,Terror,Filme,-,112,46,0.41,Não,Notebook/PC
208,2026-07-13,08:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,A Chegada,Ficção Científica,Filme,-,117,115,0.98,Sim,Smart TV
209,2026-07-13,09:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Band of Brothers,Ação,Minissérie,1,43,31,0.71,Não,Celular
210,2026-07-14,08:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,La Casa de Papel,Suspense,Série,3,144,39,0.27,Não,Smart TV
211,2026-07-14,11:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Ted Lasso,Comédia,Série,4,160,125,0.78,Não,Notebook/PC
212,2026-07-14,15:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,A Maldição da Residência Hill,Terror,Série,1,43,41,0.95,Sim,Smart TV
213,2026-07-14,21:00,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Modern Love,Romance,Série (antologia),2,92,64,0.7,Não,Smart TV
214,2026-07-14,21:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Toy Story 3,Animação,Filme (animação),-,90,86,0.95,Sim,Smart TV
215,2026-07-14,23:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,The Boys,Ação,Série,2,108,96,0.89,Não,Smart TV
216,2026-07-15,09:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Tropa de Elite,Ação,Filme,-,122,106,0.87,Não,Console
217,2026-07-15,11:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Atividade Paranormal,Terror,Filme,-,112,50,0.45,Não,Tablet
218,2026-07-15,21:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,A Chegada,Ficção Científica,Filme,-,117,109,0.93,Sim,Notebook/PC
219,2026-07-16,10:45,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Missa da Meia-Noite,Terror,Minissérie,3,114,11,0.1,Não,Celular
220,2026-07-16,12:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,BoJack Horseman,Animação,Série (animação),2,104,100,0.96,Sim,Notebook/PC
221,2026-07-16,18:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Black Mirror,Ficção Científica,Série (antologia),2,84,76,0.91,Sim,Smart TV
222,2026-07-16,19:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Tropa de Elite,Ação,Filme,-,122,118,0.97,Sim,Celular
223,2026-07-16,23:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,As Branquelas,Comédia,Filme,-,114,111,0.97,Sim,Celular
224,2026-07-17,12:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Um Sonho de Liberdade,Drama,Filme,-,154,89,0.58,Não,Smart TV
225,2026-07-17,12:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Arquivo X,Ficção Científica,Série,3,117,91,0.78,Não,Smart TV
226,2026-07-18,10:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Ruptura,Ficção Científica,Série,3,174,171,0.98,Sim,Smart TV
227,2026-07-18,15:15,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Diário de uma Paixão,Romance,Filme,-,130,113,0.87,Não,Smart TV
228,2026-07-18,16:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Breaking Bad,Drama,Série,4,164,25,0.15,Não,Smart TV
229,2026-07-18,20:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,The Expanse,Ficção Científica,Série,1,38,33,0.86,Não,Celular
230,2026-07-19,21:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Blade Runner,Ficção Científica,Filme,-,107,24,0.22,Não,Tablet
231,2026-07-20,07:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Succession,Drama,Série,2,84,71,0.85,Não,Tablet
232,2026-07-20,10:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Ruptura,Ficção Científica,Série,1,58,56,0.97,Sim,Smart TV
233,2026-07-20,13:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,BoJack Horseman,Animação,Série (animação),1,52,34,0.65,Não,Smart TV
234,2026-07-20,15:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Tropa de Elite,Ação,Filme,-,122,79,0.65,Não,Smart TV
235,2026-07-20,16:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Exorcista,Terror,Filme,-,102,98,0.96,Sim,Celular
236,2026-07-21,08:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Olhos que Condenam,Drama,Minissérie,2,70,64,0.91,Sim,Console
237,2026-07-21,12:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Dark,Ficção Científica,Série,2,84,78,0.93,Sim,Console
238,2026-07-21,18:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Modern Love,Romance,Série (antologia),1,46,43,0.94,Sim,Tablet
239,2026-07-21,22:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Arcane,Animação,Série (animação),4,220,53,0.24,Não,Smart TV
240,2026-07-21,23:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,American Horror Story,Terror,Série (antologia),3,135,63,0.47,Não,Celular
241,2026-07-22,11:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Diário de uma Paixão,Romance,Filme,-,130,116,0.89,Não,Tablet
242,2026-07-22,12:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Invencível,Animação,Série (animação),2,84,39,0.46,Não,Celular
243,2026-07-22,14:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Shrek 2,Animação,Filme (animação),-,97,82,0.85,Não,Smart TV
244,2026-07-22,18:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Reacher,Ação,Série,2,98,97,0.99,Sim,Smart TV
245,2026-07-22,22:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Mad Max: Estrada da Fúria,Ação,Filme,-,105,96,0.91,Sim,Celular
246,2026-07-23,07:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,The Boys,Ação,Série,3,162,152,0.94,Sim,Smart TV
247,2026-07-23,17:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Chernobyl,Drama,Minissérie,2,102,94,0.92,Sim,Celular
248,2026-07-23,17:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Titanic,Romance,Filme,-,129,81,0.63,Não,Celular
249,2026-07-24,08:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Olhos que Condenam,Drama,Minissérie,3,105,70,0.67,Não,Smart TV
250,2026-07-24,14:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",Fantasia,Filme,-,146,133,0.91,Sim,Smart TV
251,2026-07-24,14:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,As Branquelas,Comédia,Filme,-,114,104,0.91,Sim,Smart TV
252,2026-07-24,17:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Fleabag,Comédia,Série,4,232,139,0.6,Não,Smart TV
253,2026-07-24,21:15,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Ilha do Medo,Suspense,Filme,-,140,27,0.19,Não,Smart TV
254,2026-07-25,09:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Curtindo a Vida Adoidado,Comédia,Filme,-,87,77,0.89,Não,Celular
255,2026-07-25,11:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Chernobyl,Drama,Minissérie,3,153,31,0.2,Não,Smart TV
256,2026-07-25,19:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,115,0.82,Não,Notebook/PC
257,2026-07-25,19:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Duro de Matar,Ação,Filme,-,124,100,0.81,Não,Notebook/PC
258,2026-07-25,22:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Hereditário,Terror,Filme,-,95,75,0.79,Não,Tablet
259,2026-07-25,23:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,O Mistério de Jinx,Documentário,Documentário,-,89,34,0.38,Não,Celular
260,2026-07-26,08:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,True Detective,Suspense,Série (antologia),4,168,150,0.89,Não,Smart TV
261,2026-07-26,17:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Antes do Amanhecer,Romance,Filme,-,102,96,0.94,Sim,Console
262,2026-07-28,09:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Normal People,Romance,Série,4,176,158,0.9,Sim,Smart TV
263,2026-07-29,09:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Demolidor,Ação,Série,2,72,39,0.54,Não,Smart TV
264,2026-07-29,22:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,A Chegada,Ficção Científica,Filme,-,117,108,0.92,Sim,Smart TV
265,2026-07-29,22:15,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Chernobyl,Drama,Minissérie,1,51,13,0.26,Não,Console
266,2026-07-29,23:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Dark,Ficção Científica,Série,1,42,24,0.56,Não,Celular
267,2026-07-30,07:15,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Hereditário,Terror,Filme,-,95,70,0.74,Não,Celular
268,2026-07-30,08:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Ruptura,Ficção Científica,Série,1,58,35,0.6,Não,Celular
269,2026-07-30,11:30,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Modern Family,Comédia,Série,2,110,48,0.44,Não,Smart TV
270,2026-07-30,12:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,O Auto da Compadecida,Comédia,Filme,-,106,99,0.93,Sim,Smart TV
271,2026-07-30,22:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,97,0.69,Não,Smart TV
272,2026-07-31,09:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Breaking Bad,Drama,Série,1,41,39,0.95,Sim,Smart TV
273,2026-07-31,11:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Arcane,Animação,Série (animação),1,55,43,0.79,Não,Notebook/PC
274,2026-07-31,21:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Bridgerton,Romance,Série,3,165,148,0.9,Sim,Smart TV
275,2026-08-01,07:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Duro de Matar,Ação,Filme,-,124,42,0.34,Não,Tablet
276,2026-08-01,12:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Brooklyn Nine-Nine,Comédia,Série,3,156,144,0.92,Sim,Celular
277,2026-08-01,19:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Poderoso Chefão,Drama,Filme,-,111,53,0.48,Não,Notebook/PC
